Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PARC IMPERIAL,"730,000",398.27,"1,833",May-26,PASIR PANJANG ROAD,Resale,Strata,37,"19,730",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"3,860,000","1,711.48","2,255",May-26,JALAN LEMPENG,Resale,Strata,159,"24,277",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
NORMANTON PARK,"2,260,000","1,087.16","2,079",May-26,NORMANTON PARK,Resale,Strata,101,"22,376",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
PARC CLEMATIS,"2,188,000",914.94,"2,391",May-26,JALAN LEMPENG,Resale,Strata,85,"25,741",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
HERITAGE VIEW,"1,900,888","1,162.51","1,635",May-26,DOVER RISE,Resale,Strata,108,"17,601",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,16 to 20
THE CLEMENT CANOPY,"2,780,000","1,345.5","2,066",May-26,CLEMENTI AVENUE 1,Resale,Strata,125,"22,240",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,11 to 15
NORMANTON PARK,"2,820,000","1,313.21","2,147",May-26,NORMANTON PARK,Resale,Strata,122,"23,115",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
THE ESTIVA,"2,500,000","1,733","1,443",May-26,PASIR PANJANG ROAD,Resale,Strata,161,"15,528",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
ONE-NORTH EDEN,"1,238,000",516.67,"2,396",May-26,SLIM BARRACKS RISE,Resale,Strata,48,"25,792",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
KENTVIEW PARK,"1,750,000","1,184.04","1,478",May-26,PASIR PANJANG HILL,Resale,Strata,110,"15,909",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
THE TRILINQ,"1,930,000",914.94,"2,109",May-26,JALAN LEMPENG,Resale,Strata,85,"22,706",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
DOVER PARKVIEW,"2,060,000","1,248.62","1,650",May-26,DOVER RISE,Resale,Strata,116,"17,759",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,11 to 15
NORMANTON PARK,"885,000",527.44,"1,678",May-26,NORMANTON PARK,Resale,Strata,49,"18,061",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
BOTANNIA,"2,270,000","1,270.15","1,787",May-26,WEST COAST PARK,Resale,Strata,118,"19,237",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,01 to 05
BOTANNIA,"2,950,000","1,560.78","1,890",May-26,WEST COAST PARK,Resale,Strata,145,"20,345",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
HARBOUR VIEW GARDENS,"1,300,000",678.13,"1,917",May-26,PASIR PANJANG ROAD,Resale,Strata,63,"20,635",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE INFINITI,"1,570,000",914.94,"1,716",May-26,WEST COAST PARK,Resale,Strata,85,"18,471",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
PARC CLEMATIS,"3,560,000","1,496.2","2,379",May-26,JALAN LEMPENG,Resale,Strata,139,"25,612",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
THE TRILINQ,"1,780,000","1,108.69","1,605",May-26,JALAN LEMPENG,Resale,Strata,103,"17,282",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,16 to 20
THE SORRENTO,"1,950,000","1,097.93","1,776",May-26,WEST COAST ROAD,Resale,Strata,102,"19,118",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
WHISTLER GRAND,"835,000",441.32,"1,892",May-26,WEST COAST VALE,Resale,Strata,41,"20,366",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,06 to 10
MONTEREY PARK CONDOMINIUM,"2,500,000","1,367.03","1,829",May-26,WEST COAST RISE,Resale,Strata,127,"19,685",-,Condominium,1,999 yrs lease commencing from 1885,05,Outside Central Region,06 to 10
MONTEREY PARK CONDOMINIUM,"1,860,000","1,022.58","1,819",May-26,WEST COAST RISE,Resale,Strata,95,"19,579",-,Condominium,1,999 yrs lease commencing from 1885,05,Outside Central Region,06 to 10
PARC RIVIERA,"1,680,000",904.18,"1,858",May-26,WEST COAST VALE,Resale,Strata,84,"20,000",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,16 to 20
TWIN VEW,"1,260,000",731.95,"1,721",May-26,WEST COAST VALE,Resale,Strata,68,"18,529",-,Apartment,1,99 yrs lease commencing from 2017,05,Outside Central Region,01 to 05
REGENT PARK,"1,628,000","1,162.51","1,400",May-26,JALAN LEMPENG,Resale,Strata,108,"15,074",-,Condominium,1,99 yrs lease commencing from 1993,05,Outside Central Region,06 to 10
HARBOUR VIEW GARDENS,"1,295,000",645.84,"2,005",May-26,PASIR PANJANG ROAD,Resale,Strata,60,"21,583",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
BLUE HORIZON,"1,275,000",936.47,"1,361",May-26,WEST COAST CRESCENT,Resale,Strata,87,"14,655",-,Condominium,1,99 yrs lease commencing from 2000,05,Outside Central Region,11 to 15
THE VISION,"1,415,000",904.18,"1,565",May-26,WEST COAST CRESCENT,Resale,Strata,84,"16,845",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,01 to 05
THE TRILINQ,"1,950,000",914.94,"2,131",May-26,JALAN LEMPENG,Resale,Strata,85,"22,941",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,11 to 15
CLAVON,"1,645,000",764.24,"2,152",May-26,CLEMENTI AVENUE 1,Resale,Strata,71,"23,169",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,26 to 30
ONE-NORTH RESIDENCES,"915,000",592.02,"1,546",May-26,ONE-NORTH GATEWAY,Resale,Strata,55,"16,636",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
THE MAYLEA,"2,200,000","1,216.33","1,809",May-26,PASIR PANJANG ROAD,Resale,Strata,113,"19,469",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
THE STELLAR,"1,780,000","1,044.11","1,705",Apr-26,WEST COAST ROAD,Resale,Strata,97,"18,351",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
PARC CLEMATIS,"3,080,000","1,237.86","2,488",Apr-26,JALAN LEMPENG,Resale,Strata,115,"26,783",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
PARC CLEMATIS,"3,400,000","1,463.9","2,323",Apr-26,JALAN LEMPENG,Resale,Strata,136,"25,000",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
